Date,weights,weights,weights
2019-01-02 00:00:00,0.018884410229089488,0.020193040982429356,0.020193040982429356
2019-01-03 00:00:00,0.01134652164304617,0.014282103358238096,0.014282103358238096
2019-01-04 00:00:00,0.05234480200951119,0.055399733235702575,0.055399733235702575
2019-01-07 00:00:00,0.07008130260940204,0.0748337689482319,0.0748337689482319
2019-01-08 00:00:00,0.07712217801336929,0.07996309126879986,0.07996309126879986
2019-01-09 00:00:00,0.1028848826493074,0.10443910463892814,0.10443910463892814
2019-01-10 00:00:00,0.11233755379005483,0.11280015405086696,0.11280015405086696
2019-01-11 00:00:00,0.10712608500588905,0.10926353643001852,0.10926353643001852
2019-01-14 00:00:00,0.10338147814462273,0.10475280719173097,0.10475280719173097
2019-01-15 00:00:00,0.09271402075500212,0.09463299538579895,0.09463299538579895
2019-01-16 00:00:00,0.11514161747018714,0.11650819326410944,0.11650819326410944
2019-01-17 00:00:00,0.11997769803183522,0.1215832638394474,0.1215832638394474
2019-01-18 00:00:00,0.13699374149823962,0.13892857087452337,0.13892857087452337
2019-01-21 00:00:00,0.13890741115078598,0.14452489150490022,0.14452489150490022
2019-01-22 00:00:00,0.1099985120588236,0.11267611008758993,0.11267611008758993
2019-01-23 00:00:00,0.1232982790517485,0.1273804948884838,0.1273804948884838
2019-01-24 00:00:00,0.1319407728660078,0.13651032461756185,0.13651032461756185
2019-01-25 00:00:00,0.12256674095662756,0.12585192130309375,0.12585192130309375
2019-01-28 00:00:00,0.11691272476175874,0.12098760417222687,0.12098760417222687
2019-01-29 00:00:00,0.13967936655458435,0.14624284718649672,0.14624284718649672
2019-01-30 00:00:00,0.15305064715215355,0.16028130852544775,0.16028130852544775
2019-01-31 00:00:00,0.156628048961736,0.16530386914593564,0.16530386914593564
2019-02-01 00:00:00,0.16998003754909763,0.17951353951895532,0.18107015095294599
2019-02-04 00:00:00,0.17162098687960992,0.18220957085327583,0.18599825986700713
2019-02-05 00:00:00,0.17854971288435184,0.18924549208256924,0.1942328487871261
2019-02-06 00:00:00,0.1593355394526612,0.17025740796940414,0.17442204296391672
2019-02-07 00:00:00,0.13988123421930876,0.14962047880032436,0.15299516789295597
2019-02-08 00:00:00,0.15836729547195705,0.17044183335783125,0.17517487050091973
2019-02-11 00:00:00,0.169618573933217,0.1813400703278576,0.18783294174424503
2019-02-12 00:00:00,0.1814169211256742,0.19475829997245175,0.20040348019806875
2019-02-13 00:00:00,0.1612921311415254,0.1747111619910835,0.1800520461303663
2019-02-14 00:00:00,0.16776670327824017,0.18117570176350006,0.18632847467408142
2019-02-15 00:00:00,0.17606789257994437,0.1888492301119249,0.18749802622167078
2019-02-18 00:00:00,0.18275629081727152,0.19357230109430867,0.1853309209127152
2019-02-19 00:00:00,0.14520156513701887,0.15503303123546552,0.14808471921196475
2019-02-20 00:00:00,0.1427343228661826,0.15457796222330322,0.14601973830090853
2019-02-21 00:00:00,0.1288959291545957,0.13782372548736066,0.13078416653651526
2019-02-22 00:00:00,0.15521514278601534,0.16558510986637054,0.15906252355943518
2019-02-25 00:00:00,0.1492281461150351,0.15822676740084152,0.15163289688784665
2019-02-26 00:00:00,0.1368515863341493,0.14663652796742577,0.14072184984963387
2019-02-27 00:00:00,0.11830094217152731,0.12700080213293163,0.12332539251832841
2019-02-28 00:00:00,0.10394321222996084,0.11131531864607802,0.10853165524051378
2019-03-01 00:00:00,0.0905410775677864,0.09591843240140308,0.0935095989025061
2019-03-04 00:00:00,0.0905410775677864,0.09591843240140308,0.0935095989025061
2019-03-05 00:00:00,0.0905410775677864,0.09591843240140308,0.0935095989025061
2019-03-06 00:00:00,0.05669174660715415,0.05595476902270202,0.05843675581431018
2019-03-07 00:00:00,0.08035756752968193,0.08407927105588664,0.08834382175075373
2019-03-08 00:00:00,0.08139848659244842,0.0819272276519456,0.08666310686954626
2019-03-11 00:00:00,0.09926415992937043,0.102740147495064,0.10305090676642004
2019-03-12 00:00:00,0.10133025665504602,0.10373799661146932,0.10172747766348933
2019-03-13 00:00:00,0.10728003668426833,0.11038336501541468,0.10536583116298215
2019-03-14 00:00:00,0.09667104014311367,0.09844464524336449,0.09135930655191715
2019-03-15 00:00:00,0.11176407656622178,0.11394575064856527,0.10644836401983615
2019-03-18 00:00:00,0.12999673131675227,0.13451928476118646,0.1263589373558398
2019-03-19 00:00:00,0.11696644256999589,0.11867726340436091,0.10885727666497069
2019-03-20 00:00:00,0.11768350031723918,0.12151613317907195,0.1122501693121285
2019-03-21 00:00:00,0.09599094666358376,0.10167349323351016,0.09195067267390367
2019-03-22 00:00:00,0.0630945135733707,0.0665184328685764,0.05787294693767486
2019-03-25 00:00:00,0.0695211183565223,0.07125434133675035,0.06210110916546552
2019-03-26 00:00:00,0.052932694042375106,0.054161389881122846,0.0416514817781275
2019-03-27 00:00:00,0.04414242971514515,0.04489777456311028,0.02869595673297387
2019-03-28 00:00:00,0.06812157436223765,0.06690194614158584,0.05181422962241289
2019-03-29 00:00:00,0.08436651288033059,0.08416934989020253,0.06720677809258468
2019-04-01 00:00:00,0.06518895821958925,0.06468832510976719,0.04687429997787951
2019-04-02 00:00:00,0.06518895821958925,0.06468832510976719,0.04687429997787951
2019-04-03 00:00:00,0.0269306360519459,0.027584775444464027,0.005842615154081798
2019-04-04 00:00:00,0.030064173184942478,0.032565870589743584,0.0105212548706064
2019-04-05 00:00:00,0.0434572431799789,0.04643550326433954,0.02258660022395076
2019-04-08 00:00:00,0.04774488632925378,0.052239018698340356,0.028703396776935453
