Date,MERVAL
1989-01-02 02:00:00,0.2
1989-01-03 02:00:00,0.21
1989-01-04 02:00:00,0.22
1989-01-05 02:00:00,0.21
1989-01-06 02:00:00,0.21
1989-01-09 02:00:00,0.22
1989-01-10 02:00:00,0.22
1989-01-11 02:00:00,0.21
1989-01-12 02:00:00,0.21
1989-01-13 02:00:00,0.21
1989-01-17 02:00:00,0.2
1989-01-18 02:00:00,0.2
1989-01-19 02:00:00,0.19
1989-01-20 02:00:00,0.19
1989-01-23 02:00:00,0.2
1989-01-24 02:00:00,0.19
1989-01-25 02:00:00,0.19
1989-01-26 02:00:00,0.19
1989-01-27 02:00:00,0.18
1989-01-30 02:00:00,0.18
1989-01-31 02:00:00,0.18
1989-02-01 02:00:00,0.19
1989-02-02 02:00:00,0.18
1989-02-03 02:00:00,0.17
1989-02-07 02:00:00,0.2
1989-02-08 02:00:00,0.23
1989-02-09 02:00:00,0.2
1989-02-10 02:00:00,0.21
1989-02-13 02:00:00,0.2
1989-02-14 02:00:00,0.2
1989-02-15 02:00:00,0.23
1989-02-16 02:00:00,0.24
1989-02-17 02:00:00,0.24
1989-02-20 02:00:00,0.24
1989-02-21 02:00:00,0.23
1989-02-22 02:00:00,0.22
1989-02-23 02:00:00,0.23
1989-02-24 02:00:00,0.25
1989-02-27 02:00:00,0.24
1989-02-28 02:00:00,0.24
1989-03-01 02:00:00,0.24
1989-03-02 02:00:00,0.27
1989-03-03 02:00:00,0.28
1989-03-06 03:00:00,0.3
1989-03-07 03:00:00,0.32
1989-03-08 03:00:00,0.36
1989-03-09 03:00:00,0.33
1989-03-10 03:00:00,0.33
1989-03-13 03:00:00,0.36
1989-03-15 03:00:00,0.39
1989-03-16 03:00:00,0.4
1989-03-17 03:00:00,0.4
1989-03-20 03:00:00,0.38
1989-03-21 03:00:00,0.37
1989-03-22 03:00:00,0.4
1989-03-27 03:00:00,0.42
1989-03-28 03:00:00,0.4
1989-03-29 03:00:00,0.45
1989-03-30 03:00:00,0.46
1989-03-31 03:00:00,0.45
1989-04-04 03:00:00,0.46
1989-04-05 03:00:00,0.43
1989-04-06 03:00:00,0.43
1989-04-07 03:00:00,0.42
1989-04-10 03:00:00,0.38
1989-04-11 03:00:00,0.41
1989-04-12 03:00:00,0.45
1989-04-13 03:00:00,0.49
1989-04-14 03:00:00,0.46
1989-04-17 03:00:00,0.44
1989-04-18 03:00:00,0.48
1989-04-20 03:00:00,0.49
1989-04-21 03:00:00,0.49
1989-04-24 03:00:00,0.53
1989-04-25 03:00:00,0.61
1989-04-26 03:00:00,0.74
1989-04-27 03:00:00,0.71
1989-05-03 03:00:00,0.72
1989-05-04 03:00:00,0.7
1989-05-05 03:00:00,0.75
1989-05-08 03:00:00,0.94
1989-05-09 03:00:00,0.97
1989-05-10 03:00:00,1.07
1989-05-11 03:00:00,1.05
1989-05-12 03:00:00,1.08
1989-05-15 03:00:00,0.95
1989-05-16 03:00:00,0.88
1989-05-17 03:00:00,1.05
1989-05-18 03:00:00,1.28
1989-05-19 03:00:00,1.26
1989-05-30 03:00:00,1.64
1989-05-31 03:00:00,2.28
1989-06-01 03:00:00,2.21
1989-06-02 03:00:00,2.64
1989-06-05 03:00:00,3.14
1989-06-06 03:00:00,3.01
1989-06-07 03:00:00,3.09
1989-06-08 03:00:00,2.96
1989-06-09 03:00:00,3.19
1989-06-12 03:00:00,3.66
1989-06-13 03:00:00,4.24
1989-06-14 03:00:00,4.87
1989-06-15 03:00:00,4.57
1989-06-16 03:00:00,5.14
1989-06-20 03:00:00,5.66
1989-06-21 03:00:00,5.3
1989-06-22 03:00:00,4.99
1989-06-23 03:00:00,5.24
1989-06-26 03:00:00,5.58
1989-06-27 03:00:00,6.19
1989-06-28 03:00:00,8.02
1989-06-29 03:00:00,7.84
1989-06-30 03:00:00,8.82
1989-07-03 03:00:00,8.7
1989-07-04 03:00:00,8.54
1989-07-05 03:00:00,9.54
1989-07-06 03:00:00,9.01
1989-07-07 03:00:00,9.2
1989-07-10 03:00:00,9.84
1989-07-11 03:00:00,9.05
1989-07-12 03:00:00,8.57
1989-07-13 03:00:00,9.51
1989-07-14 03:00:00,10.2
1989-07-17 03:00:00,10.79
1989-07-18 03:00:00,11.46
1989-07-19 03:00:00,11.89
1989-07-20 03:00:00,11.01
1989-07-21 03:00:00,10.51
1989-07-24 03:00:00,9.44
1989-07-25 03:00:00,9.24
1989-07-26 03:00:00,9.98
1989-07-27 03:00:00,9.31
1989-07-28 03:00:00,8.44
1989-07-31 03:00:00,7.49
1989-08-01 03:00:00,8.24
1989-08-02 03:00:00,7.97
1989-08-03 03:00:00,8.09
1989-08-04 03:00:00,8.53
1989-08-07 03:00:00,9.36
1989-08-08 03:00:00,9.11
1989-08-09 03:00:00,9.18
1989-08-10 03:00:00,9.55
1989-08-11 03:00:00,9.67
1989-08-14 03:00:00,9.26
1989-08-15 03:00:00,9.42
1989-08-16 03:00:00,9.64
1989-08-17 03:00:00,9.83
1989-08-18 03:00:00,10.15
1989-08-22 03:00:00,10.22
1989-08-23 03:00:00,10.34
1989-08-24 03:00:00,10.41
1989-08-25 03:00:00,10.68
1989-08-28 03:00:00,10.58
1989-08-29 03:00:00,10.51
1989-08-30 03:00:00,10.95
1989-08-31 03:00:00,10.92
1989-09-01 03:00:00,10.82
1989-09-04 03:00:00,10.69
1989-09-05 03:00:00,10.99
1989-09-06 03:00:00,11.76
1989-09-07 03:00:00,12.15
1989-09-08 03:00:00,11.9
1989-09-11 03:00:00,12.88
1989-09-12 03:00:00,12.74
1989-09-13 03:00:00,13.98
1989-09-14 03:00:00,14.77
1989-09-15 03:00:00,15.01
1989-09-18 03:00:00,17.2
1989-09-19 03:00:00,15.49
1989-09-20 03:00:00,17.07
1989-09-21 03:00:00,18.02
1989-09-22 03:00:00,17.89
1989-09-25 03:00:00,19.1
1989-09-26 03:00:00,20.86
1989-09-27 03:00:00,21.28
1989-09-28 03:00:00,22.87
1989-09-29 03:00:00,22.87
1989-10-02 03:00:00,22.87
1989-10-03 03:00:00,23.51
1989-10-04 03:00:00,24.1
1989-10-05 03:00:00,24.28
1989-10-06 03:00:00,22.87
1989-10-09 03:00:00,22.57
1989-10-10 03:00:00,23.13
1989-10-11 03:00:00,23.16
1989-10-12 03:00:00,21.95
1989-10-13 03:00:00,20.48
1989-10-17 02:00:00,18.42
1989-10-18 02:00:00,18.84
1989-10-19 02:00:00,20.22
1989-10-20 02:00:00,21.65
1989-10-23 02:00:00,20.94
1989-10-24 02:00:00,21.72
1989-10-25 02:00:00,20.58
1989-10-26 02:00:00,20.15
1989-10-27 02:00:00,20.26
1989-10-30 02:00:00,20.46
1989-10-31 02:00:00,20.98
1989-11-01 02:00:00,22.21
1989-11-02 02:00:00,21.01
1989-11-03 02:00:00,20.89
1989-11-06 02:00:00,19.16
1989-11-07 02:00:00,17.46
1989-11-08 02:00:00,17.21
1989-11-09 02:00:00,19.58
1989-11-10 02:00:00,18.36
1989-11-13 02:00:00,19.43
1989-11-14 02:00:00,19.34
1989-11-15 02:00:00,20.83
1989-11-16 02:00:00,20.83
1989-11-17 02:00:00,20.25
1989-11-20 02:00:00,22.56
